rank,course_id,course_code,task_id,task_type,title,due_sort_key,due_text,due_status,available_text,points_text,estimated_time,module_titles,module_item_ids,actionability,confidence,review_state,recursive_review_states,object_id,object_type,source_urls,next_action
41,2080857,MTH-252,task-00169-mth-252-prep-reading-252-lecture-1-1-to-me1-pdf-integral-calculus-mth-252z-400-u2026,prep_reading,252-Lecture-1.1-to-ME1.pdf: INTEGRAL CALCULUS (MTH_252Z_400_U2026),,,no_due_found,,,,"Module 1: Intro to Riemann Sums: Upper, Lower, Left, Right, and Midpoint Riemann Sums|Module 2: Intro to Definite Integral and Properties",mi-mth-252-26982546|mi-mth-252-26982555,prep_required,medium,candidate,,obj-mth-252-file-119223553,file,https://canvas.oregonstate.edu/courses/2080857/files/119223553?module_item_id=26982546|https://canvas.oregonstate.edu/courses/2080857/files/119223553?module_item_id=26982555|https://canvas.oregonstate.edu/courses/2080857/files/119223553?module_item_id=26982546#|https://canvas.oregonstate.edu/courses/2080857/files/119223553?module_item_id=26982555#|https://canvas.oregonstate.edu/courses/2080857/modules,Complete or review this prep item before the related graded work.
42,2080857,MTH-252,task-00052-mth-252-prep-reading-252-lecture-1-3-to-me2-pdf,prep_reading,252-Lecture-1.3-to-ME2.pdf,,,no_due_found,,,,,,prep_required,medium,candidate,needs_manual_decision,obj-mth-252-download-119223594,download,https://canvas.oregonstate.edu/courses/2080857/files/119223594/download?download_frd=1|https://canvas.oregonstate.edu/courses/2080857/files/119223594?module_item_id=26982565|https://canvas.oregonstate.edu/courses/2080857/files/119223594?module_item_id=26982574|https://canvas.oregonstate.edu/courses/2080857/files/119223594?module_item_id=26982565#|https://canvas.oregonstate.edu/courses/2080857/files/119223594?module_item_id=26982574#,Complete or review this prep item before the related graded work.
43,2080857,MTH-252,task-00170-mth-252-prep-reading-252-lecture-1-3-to-me2-pdf-integral-calculus-mth-252z-400-u2026,prep_reading,252-Lecture-1.3-to-ME2.pdf: INTEGRAL CALCULUS (MTH_252Z_400_U2026),,,no_due_found,,,,Module 3: The Fundamental Theorems of Calculus|Module 4: Introduction to Applications,mi-mth-252-26982565|mi-mth-252-26982574,prep_required,medium,candidate,,obj-mth-252-file-119223594,file,https://canvas.oregonstate.edu/courses/2080857/files/119223594?module_item_id=26982565|https://canvas.oregonstate.edu/courses/2080857/files/119223594?module_item_id=26982574|https://canvas.oregonstate.edu/courses/2080857/files/119223594?module_item_id=26982565#|https://canvas.oregonstate.edu/courses/2080857/files/119223594?module_item_id=26982574#|https://canvas.oregonstate.edu/courses/2080857/modules,Complete or review this prep item before the related graded work.
44,2080857,MTH-252,task-00171-mth-252-prep-reading-252-lecture-2-1-to-me4-pdf-integral-calculus-mth-252z-400-u2026,prep_reading,252-Lecture-2.1-to-ME4.pdf: INTEGRAL CALCULUS (MTH_252Z_400_U2026),,,no_due_found,,,,Module 7: Applications of Integration - Graphical|Module 8: Application of Integration - Graphical and Real-World,mi-mth-252-26982610|mi-mth-252-26982621,prep_required,medium,candidate,,obj-mth-252-file-119223597,file,https://canvas.oregonstate.edu/courses/2080857/files/119223597?module_item_id=26982610|https://canvas.oregonstate.edu/courses/2080857/files/119223597?module_item_id=26982621|https://canvas.oregonstate.edu/courses/2080857/files/119223597?module_item_id=26982610#|https://canvas.oregonstate.edu/courses/2080857/files/119223597?module_item_id=26982621#|https://canvas.oregonstate.edu/courses/2080857/modules,Complete or review this prep item before the related graded work.
45,2080857,MTH-252,task-00053-mth-252-lecture-video-252-lecture-2-5-to-me5-pages-5-8-13-17-19-20-1-1-pdf,lecture_video,"252-Lecture-2.5-to-ME5 pages 5 - 8, 13 - 17, 19, 20-1-1.pdf",,,no_due_found,,,,,,prep_required,medium,candidate,needs_manual_decision,obj-mth-252-download-119223617,download,https://canvas.oregonstate.edu/courses/2080857/files/119223617/download?download_frd=1|https://canvas.oregonstate.edu/courses/2080857/pages/dr-gs-videos-%3E-2-dot-5?module_item_id=26982634|https://canvas.oregonstate.edu/courses/2080857/files/119223617?wrap=1,Complete or review this prep item before the related graded work.
46,2080857,MTH-252,task-00054-mth-252-lecture-video-252-lecture-2-5-to-me5-pages-5-8-13-17-19-20-1-2-pdf,lecture_video,"252-Lecture-2.5-to-ME5 pages 5 - 8, 13 - 17, 19, 20-1-2.pdf",,,no_due_found,,,,,,prep_required,medium,candidate,needs_manual_decision,obj-mth-252-download-119223618,download,https://canvas.oregonstate.edu/courses/2080857/files/119223618/download?download_frd=1|https://canvas.oregonstate.edu/courses/2080857/pages/dr-gs-videos-%3E-3-dot-7?module_item_id=26982645|https://canvas.oregonstate.edu/courses/2080857/files/119223618?wrap=1,Complete or review this prep item before the related graded work.
47,2080857,MTH-252,task-00172-mth-252-prep-reading-252-lecture-2-5-to-me5-pdf-integral-calculus-mth-252z-400-u2026,prep_reading,252-Lecture-2.5-to-ME5.pdf: INTEGRAL CALCULUS (MTH_252Z_400_U2026),,,no_due_found,,,,Module 9: Applications of Integration - Real-World|Module 10: Applications of Integration - Real World,mi-mth-252-26982633|mi-mth-252-26982644,prep_required,medium,candidate,,obj-mth-252-file-119223598,file,https://canvas.oregonstate.edu/courses/2080857/files/119223598?module_item_id=26982633|https://canvas.oregonstate.edu/courses/2080857/files/119223598?module_item_id=26982644|https://canvas.oregonstate.edu/courses/2080857/files/119223598?module_item_id=26982633#|https://canvas.oregonstate.edu/courses/2080857/files/119223598?module_item_id=26982644#|https://canvas.oregonstate.edu/courses/2080857/modules,Complete or review this prep item before the related graded work.
48,2080857,MTH-252,task-00173-mth-252-prep-reading-252-lecture-3-1-to-me3-pdf-integral-calculus-mth-252z-400-u2026,prep_reading,252-Lecture-3.1-to-ME3.pdf: INTEGRAL CALCULUS (MTH_252Z_400_U2026),,,no_due_found,,,,Module 5: Techniques to Solve Integrals|Module 6: Techniques Continued,mi-mth-252-26982588|mi-mth-252-26982599,prep_required,medium,candidate,,obj-mth-252-file-119223561,file,https://canvas.oregonstate.edu/courses/2080857/files/119223561?module_item_id=26982588|https://canvas.oregonstate.edu/courses/2080857/files/119223561?module_item_id=26982599|https://canvas.oregonstate.edu/courses/2080857/files/119223561?module_item_id=26982588#|https://canvas.oregonstate.edu/courses/2080857/files/119223561?module_item_id=26982599#|https://canvas.oregonstate.edu/courses/2080857/modules,Complete or review this prep item before the related graded work.
51,2080857,MTH-252,task-00180-mth-252-lecture-video-application-area-under-curve-distance,lecture_video,Application: Area under curve: Distance,,,no_due_found,,,,1.1 Approximating Area Under the Curve,mi-mth-252-26982660,prep_required,medium,candidate,,obj-mth-252-module-item-26982660,module_item,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982660|https://canvas.oregonstate.edu/courses/2080857/modules,Complete or review this prep item before the related graded work.
52,2080857,MTH-252,task-00181-mth-252-lecture-video-application-area-under-the-graph-table,lecture_video,"Application: Area under the graph, table",,,no_due_found,,,,1.1 Approximating Area Under the Curve,mi-mth-252-26982662,prep_required,medium,candidate,,obj-mth-252-module-item-26982662,module_item,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982662|https://canvas.oregonstate.edu/courses/2080857/modules,Complete or review this prep item before the related graded work.
