summary_id,course_id,course_code,source_table,category,status,count,example_titles,example_urls
xsum-0001,2080857,MTH-252,crosscheck_grades_tasks,grades,grades_surface_task_in_modules,40,Achieve - 1.1 Approximating Areas | Intro Reflect 1 | Module 1 — Written Homework (WHW 1) 🕓 2 hours,https://canvas.oregonstate.edu/courses/2080857/assignments/10586025/submissions/6660414 | https://canvas.oregonstate.edu/courses/2080857/assignments/10586044/submissions/6660414 | https://canvas.oregonstate.edu/courses/2080857/assignments/10586053/submissions/6660414
xsum-0002,2080857,MTH-252,crosscheck_modules_assignments,assignment,module_item_has_task,40,Module 1 — Written Homework (WHW 1) 🕓 2 hours | Intro Reflect 1 | Achieve - 1.1 Approximating Areas,https://canvas.oregonstate.edu/courses/2080857/assignments/10586053?module_item_id=26982549 | https://canvas.oregonstate.edu/courses/2080857/assignments/10586044?module_item_id=26982550 | https://canvas.oregonstate.edu/courses/2080857/assignments/10586025?module_item_id=26982551
xsum-0003,2080857,MTH-252,crosscheck_modules_assignments,discussion,module_item_has_task,10,Q&A Discussion | Module 1 — Discussion Reflection: WHW 1 🕓 0.25 hour | Module 2 — Discussion Reflection 🕓 0.5 hour,https://canvas.oregonstate.edu/courses/2080857/discussion_topics/11593476?module_item_id=26982539 | https://canvas.oregonstate.edu/courses/2080857/discussion_topics/11593475?module_item_id=26982552 | https://canvas.oregonstate.edu/courses/2080857/discussion_topics/11593474?module_item_id=26982561
xsum-0004,2080857,MTH-252,crosscheck_modules_assignments,external_url,module_item_external_unvisited,63,"Application: Area under curve: Distance Links to an external site. | Area under curve, more rectangles Links to an external site. | Application: Area under the graph, table Links to an external site.",https://youtu.be/DZZd1qo1n2A | https://youtu.be/B8WYjWiw5YM | https://youtu.be/_lNM3EZhByw
xsum-0005,2080857,MTH-252,crosscheck_modules_assignments,file,module_item_has_task,13,"Achieve Registration Process_v3.pdf | Dr. G's Lecture Notes--> Sect. 1.1 and 1.2 | Dr. G's Lecture Notes--> Weeks 1, 2",https://canvas.oregonstate.edu/courses/2080857/files/119223565?module_item_id=26982524 | https://canvas.oregonstate.edu/courses/2080857/files/119223553?module_item_id=26982546 | https://canvas.oregonstate.edu/courses/2080857/files/119223594?module_item_id=26982565
xsum-0006,2080857,MTH-252,crosscheck_modules_assignments,file,module_item_reference_only,1,MSLC Summer Tutoring Hours.pdf,https://canvas.oregonstate.edu/courses/2080857/files/119223484?module_item_id=26982536
xsum-0007,2080857,MTH-252,crosscheck_modules_assignments,module_item,module_item_has_task,80,OpenStax Course Online Textbook (pdf downloadable) Links to an external site. | Gradescope Submission Using Phone (no audio) | Gradescope Submission Using Computer (no audio),https://canvas.oregonstate.edu/courses/2080857/modules/items/26982526 | https://canvas.oregonstate.edu/courses/2080857/modules/items/26982529 | https://canvas.oregonstate.edu/courses/2080857/modules/items/26982530
xsum-0008,2080857,MTH-252,crosscheck_modules_assignments,module_item,module_item_reference_only,5,Website: MSLC --> Peer tutoring | Review (Optional) - 3.3 Differentiation Rules | Review (Optional) - 3.5 Derivatives of Trigonometric Functions,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982535 | https://canvas.oregonstate.edu/courses/2080857/modules/items/26982540 | https://canvas.oregonstate.edu/courses/2080857/modules/items/26982541
xsum-0009,2080857,MTH-252,crosscheck_modules_assignments,module_subheader,module_item_structural,3,Gradescope Submissions - Students are held accountable for verifying submissions 8 | Videos below: Show what verifying subs looks like. 9 | Retake - Only ONE retake submission is permitted. 1,https://canvas.oregonstate.edu/courses/2080857/modules
xsum-0010,2080857,MTH-252,crosscheck_modules_assignments,page,module_item_has_task,29,Start Here — Overview | Syllabus and Calendar (as of 6/21) --> Both Sections 400 and 401 | Get your MTH 252Z Course Materials! (Access Code + Ebook),https://canvas.oregonstate.edu/courses/2080857/pages/start-here-overview?module_item_id=26982519 | https://canvas.oregonstate.edu/courses/2080857/pages/syllabus-and-calendar-as-of-6-slash-21-%3E-both-sections-400-and-401?module_item_id=26982522 | https://canvas.oregonstate.edu/courses/2080857/pages/get-your-mth-252z-course-materials-access-code-+-ebook?module_item_id=26990499
