rank,course_id,course_code,task_id,task_type,title,due_sort_key,due_text,due_status,available_text,points_text,estimated_time,module_titles,module_item_ids,actionability,confidence,review_state,recursive_review_states,object_id,object_type,source_urls,next_action
1,2080857,MTH-252,task-00002-mth-252-graded-task-achieve-1-1-approximating-areas,graded_task,Achieve - 1.1 Approximating Areas,2026-06-29T23:59,Jun 29 by 11:59pm,past_due_or_completed,,5,,"Module 1: Intro to Riemann Sums: Upper, Lower, Left, Right, and Midpoint Riemann Sums",mi-mth-252-26982551,action_required,high,candidate,needs_manual_decision,obj-mth-252-assignment-10586025,assignment,https://canvas.oregonstate.edu/courses/2080857/assignments/10586025?module_item_id=26982551|https://canvas.oregonstate.edu/courses/2080857/assignments/10586025?module_item_id=26982551#|https://canvas.oregonstate.edu/courses/2080857/modules|https://canvas.oregonstate.edu/courses/2080857/grades,Plan/complete this task according to its module and due information.
2,2080857,MTH-252,task-00020-mth-252-graded-task-intro-reflect-1,graded_task,Intro Reflect 1,2026-06-29T23:59,Jun 29 by 11:59pm,past_due_or_completed,,5,,"Module 1: Intro to Riemann Sums: Upper, Lower, Left, Right, and Midpoint Riemann Sums",mi-mth-252-26982550,action_required,high,candidate,needs_manual_decision,obj-mth-252-assignment-10586044,assignment,https://canvas.oregonstate.edu/courses/2080857/assignments/10586044?module_item_id=26982550|https://canvas.oregonstate.edu/courses/2080857/assignments/10586044?module_item_id=26982550#|https://canvas.oregonstate.edu/courses/2080857/modules|https://canvas.oregonstate.edu/courses/2080857/grades,Plan/complete this task according to its module and due information.
3,2080857,MTH-252,task-00003-mth-252-graded-task-achieve-1-2-the-definite-integral,graded_task,Achieve - 1.2 The Definite Integral,2026-07-06T23:59,Jul 6 by 11:59pm,past_due_or_completed,,5,,Module 2: Intro to Definite Integral and Properties,mi-mth-252-26982560,action_required,high,candidate,needs_manual_decision,obj-mth-252-assignment-10586026,assignment,https://canvas.oregonstate.edu/courses/2080857/assignments/10586026?module_item_id=26982560|https://canvas.oregonstate.edu/courses/2080857/assignments/10586026?module_item_id=26982560#|https://canvas.oregonstate.edu/courses/2080857/modules|https://canvas.oregonstate.edu/courses/2080857/grades,Plan/complete this task according to its module and due information.
4,2080857,MTH-252,task-00029-mth-252-graded-task-module-1-written-homework-whw-1-2-hours,graded_task,Module 1 — Written Homework (WHW 1) 🕓 2 hours,2026-07-06T23:59,Jul 6 by 11:59pm,past_due_or_completed,,5,2 hours,"Module 1: Intro to Riemann Sums: Upper, Lower, Left, Right, and Midpoint Riemann Sums",mi-mth-252-26982549,action_required,high,candidate,needs_manual_decision,obj-mth-252-assignment-10586053,assignment,https://canvas.oregonstate.edu/courses/2080857/assignments/10586053?module_item_id=26982549|https://canvas.oregonstate.edu/courses/2080857/assignments/10586053?module_item_id=26982549#|https://canvas.oregonstate.edu/courses/2080857/modules|https://canvas.oregonstate.edu/courses/2080857/grades,Plan/complete this task according to its module and due information.
5,2080857,MTH-252,task-00031-mth-252-graded-task-module-2-written-homework-whw-2-3-hours,graded_task,Module 2 — Written Homework (WHW 2) 🕓 3 hours,2026-07-06T23:59,Jul 6 by 11:59pm,past_due_or_completed,,5,3 hours,Module 2: Intro to Definite Integral and Properties,mi-mth-252-26982558,action_required,high,candidate,,obj-mth-252-assignment-10586055,assignment,https://canvas.oregonstate.edu/courses/2080857/assignments/10586055?module_item_id=26982558|https://canvas.oregonstate.edu/courses/2080857/assignments/10586055?module_item_id=26982558#|https://canvas.oregonstate.edu/courses/2080857/modules|https://canvas.oregonstate.edu/courses/2080857/grades,Plan/complete this task according to its module and due information.
6,2080857,MTH-252,task-00022-mth-252-graded-task-mini-exam-1-tues-thur-no-late-submissions,graded_task,Mini-Exam 1 - Tues - Thur (No late submissions),2026-07-09T23:59,Jul 9 by 11:59pm,past_due_or_completed,,5,,Mini-Exam 1: Available Tuesday - Thursday of Week 3,mi-mth-252-26982562,action_required,high,candidate,needs_manual_decision,obj-mth-252-assignment-10586045,assignment,https://canvas.oregonstate.edu/courses/2080857/assignments/10586045?module_item_id=26982562|https://canvas.oregonstate.edu/courses/2080857/assignments/10586045?module_item_id=26982562#|https://canvas.oregonstate.edu/courses/2080857/modules|https://canvas.oregonstate.edu/courses/2080857/grades,Plan/complete this task according to its module and due information.
7,2080857,MTH-252,task-00039-mth-252-graded-task-reflection-2,graded_task,Reflection 2,2026-07-09T23:59,Jul 9 by 11:59pm,past_due_or_completed,,5,,Module 2: Intro to Definite Integral and Properties,mi-mth-252-26982559,action_required,high,candidate,needs_manual_decision,obj-mth-252-assignment-10586063,assignment,https://canvas.oregonstate.edu/courses/2080857/assignments/10586063?module_item_id=26982559|https://canvas.oregonstate.edu/courses/2080857/assignments/10586063?module_item_id=26982559#|https://canvas.oregonstate.edu/courses/2080857/modules|https://canvas.oregonstate.edu/courses/2080857/grades,Plan/complete this task according to its module and due information.
8,2080857,MTH-252,task-00004-mth-252-graded-task-achieve-1-3-the-fundamental-theorem-of-calculus,graded_task,Achieve - 1.3 The Fundamental Theorem of Calculus,2026-07-13T23:59,Jul 13 by 11:59pm,past_due_or_completed,,5,,Module 3: The Fundamental Theorems of Calculus,mi-mth-252-26982569,action_required,high,candidate,needs_manual_decision,obj-mth-252-assignment-10586027,assignment,https://canvas.oregonstate.edu/courses/2080857/assignments/10586027?module_item_id=26982569|https://canvas.oregonstate.edu/courses/2080857/assignments/10586027?module_item_id=26982569#|https://canvas.oregonstate.edu/courses/2080857/modules|https://canvas.oregonstate.edu/courses/2080857/grades,Plan/complete this task according to its module and due information.
9,2080857,MTH-252,task-00018-mth-252-graded-task-achieve-4-10-antiderivatives,graded_task,Achieve - 4.10 Antiderivatives,2026-07-13T23:59,Jul 13 by 11:59pm,past_due_or_completed,,5,,Module 3: The Fundamental Theorems of Calculus,mi-mth-252-26982570,action_required,high,candidate,needs_manual_decision,obj-mth-252-assignment-10586042,assignment,https://canvas.oregonstate.edu/courses/2080857/assignments/10586042?module_item_id=26982570|https://canvas.oregonstate.edu/courses/2080857/assignments/10586042?module_item_id=26982570#|https://canvas.oregonstate.edu/courses/2080857/modules|https://canvas.oregonstate.edu/courses/2080857/grades,Plan/complete this task according to its module and due information.
10,2080857,MTH-252,task-00032-mth-252-graded-task-module-3-written-homework-whw-3-3-hours,graded_task,Module 3 — Written Homework (WHW 3) 🕓 3 hours,2026-07-14T23:59,Jul 14 by 11:59pm,past_due_or_completed,,5,3 hours,Module 3: The Fundamental Theorems of Calculus,mi-mth-252-26982568,action_required,high,candidate,needs_manual_decision,obj-mth-252-assignment-10586056,assignment,https://canvas.oregonstate.edu/courses/2080857/assignments/10586056?module_item_id=26982568|https://canvas.oregonstate.edu/courses/2080857/assignments/10586056?module_item_id=26982568#|https://canvas.oregonstate.edu/courses/2080857/modules|https://canvas.oregonstate.edu/courses/2080857/grades,Plan/complete this task according to its module and due information.
