suspicion_id,course_id,course_code,severity,category,object_id,task_id,module_id,module_item_id,page_id,title,source_url,related_url,evidence_id,review_id,status,detail,suggested_action
sus-00001,2053263,MTH-253,high,module_crosscheck,obj-mth-253-quiz-3166971,task-00315-mth-253-blocked-or-broken-practice-quiz-take-it-before-attempting-quiz-1-sequences-and-series-mth-253z-400,mod-mth-253-001-start-here,mi-mth-253-26982050,00240-mth-253-module-item-practice-quiz-take-it-before-attempting-quiz-1-sequences-and-series-mth-253z-400-u2026,Practice Quiz (take it before attempting Quiz 1!),https://canvas.oregonstate.edu/courses/2053263/modules,https://canvas.oregonstate.edu/courses/2053263/quizzes/3166971?module_item_id=26982050,,,module_item_blocked,capture_status=captured; issue_types=redirected|unauthorized,Inspect this module item or add a retry/rule if it contains required work.
sus-00002,2053526,PHY-212,medium,grades_surface_crosscheck,obj-phy-212-assignment-10557057,task-00325-phy-212-graded-task-lab-1-report,,,00020-phy-212-grades-grades-for-jacob-peterson-general-physics-with-calculus-ph-212-400-u2026,Lab 1 Report,https://canvas.oregonstate.edu/courses/2053526/grades,https://canvas.oregonstate.edu/courses/2053526/assignments/10557057/submissions/6660414,ev-01731,,grades_surface_task_not_in_modules,cells=Lab 1 Report lab | Jun 27 by 11:59pm |  |  | Instructor has not posted this grade Click to test a different score Instructor has not posted this grade - / 20 pending_review 3245380 10557057 |  | Grade Info See scoring details See rubric results 1 comment 1 | ; text=Lab 1 Report lab Jun 27 by 11:59pm Instructor has not posted this grade Click to test a different score Instructor has not posted this grade - / 20 pending_review 3245380 10557057 Grade Info See scoring details See rubric results 1 comment 1,Decide whether this surface-listed task needs module context or should stay grade/assignment-only.
sus-00003,2053526,PHY-212,medium,grades_surface_crosscheck,obj-phy-212-assignment-10557070,task-00339-phy-212-graded-task-m2-1pre,,,00020-phy-212-grades-grades-for-jacob-peterson-general-physics-with-calculus-ph-212-400-u2026,M2-1pre,https://canvas.oregonstate.edu/courses/2053526/grades,https://canvas.oregonstate.edu/courses/2053526/assignments/10557070/submissions/6660414,ev-01732,,grades_surface_task_not_in_modules,cells=M2-1pre pre-lecture | Jul 2 by 10am |  |  | Click to test a different score Click to test a different score 0 / 3 0.0 0 0 graded 3245379 10557070 |  | Grade Info See scoring details See rubric results 0 comments 0 | ; text=M2-1pre pre-lecture Jul 2 by 10am Click to test a different score Click to test a different score 0 / 3 0.0 0 0 graded 3245379 10557070 Grade Info See scoring details See rubric results 0 comments 0,Decide whether this surface-listed task needs module context or should stay grade/assignment-only.
sus-00004,2053526,PHY-212,medium,grades_surface_crosscheck,obj-phy-212-assignment-10557097,task-00341-phy-212-graded-task-quiz-1-notes,,,00020-phy-212-grades-grades-for-jacob-peterson-general-physics-with-calculus-ph-212-400-u2026,Quiz 1 Notes,https://canvas.oregonstate.edu/courses/2053526/grades,https://canvas.oregonstate.edu/courses/2053526/assignments/10557097/submissions/6660414,ev-01733,,grades_surface_task_not_in_modules,cells=Quiz 1 Notes Quiz notes | Jul 4 by 5pm |  |  | Instructor has not posted this grade Click to test a different score Instructor has not posted this grade - / 5 pending_review 3245383 10557097 |  | Grade Info See scoring details See rubric results 0 comments 0 | ; text=Quiz 1 Notes Quiz notes Jul 4 by 5pm Instructor has not posted this grade Click to test a different score Instructor has not posted this grade - / 5 pending_review 3245383 10557097 Grade Info See scoring details See rubric results 0 comments 0,Decide whether this surface-listed task needs module context or should stay grade/assignment-only.
sus-00005,2053526,PHY-212,medium,grades_surface_crosscheck,obj-phy-212-assignment-10557058,task-00326-phy-212-graded-task-lab-2-group-report,,,00020-phy-212-grades-grades-for-jacob-peterson-general-physics-with-calculus-ph-212-400-u2026,Lab 2 Group Report,https://canvas.oregonstate.edu/courses/2053526/grades,https://canvas.oregonstate.edu/courses/2053526/assignments/10557058/submissions/6660414,ev-01734,,grades_surface_task_not_in_modules,cells=Lab 2 Group Report lab | Jul 4 by 11:59pm |  |  | Instructor has not posted this grade Click to test a different score Instructor has not posted this grade - / 20 pending_review 3245380 10557058 |  | Grade Info See scoring details See rubric results 0 comments 0 | ; text=Lab 2 Group Report lab Jul 4 by 11:59pm Instructor has not posted this grade Click to test a different score Instructor has not posted this grade - / 20 pending_review 3245380 10557058 Grade Info See scoring details See rubric results 0 comments 0,Decide whether this surface-listed task needs module context or should stay grade/assignment-only.
sus-00006,2053526,PHY-212,medium,grades_surface_crosscheck,obj-phy-212-assignment-10557098,task-00342-phy-212-graded-task-quiz-1a,,,00020-phy-212-grades-grades-for-jacob-peterson-general-physics-with-calculus-ph-212-400-u2026,Quiz 1A,https://canvas.oregonstate.edu/courses/2053526/grades,https://canvas.oregonstate.edu/courses/2053526/assignments/10557098/submissions/6660414,ev-01735,,grades_surface_task_not_in_modules,cells=Quiz 1A Quiz A | Jul 6 by 11:25am |  |  | Click to test a different score Click to test a different score - / 35 unsubmitted 3245384 10557098 |  | Grade Info See scoring details See rubric results 0 comments 0 | ; text=Quiz 1A Quiz A Jul 6 by 11:25am Click to test a different score Click to test a different score - / 35 unsubmitted 3245384 10557098 Grade Info See scoring details See rubric results 0 comments 0,Decide whether this surface-listed task needs module context or should stay grade/assignment-only.
sus-00007,2053526,PHY-212,medium,grades_surface_crosscheck,obj-phy-212-assignment-10557101,task-00345-phy-212-graded-task-quiz-1b,,,00020-phy-212-grades-grades-for-jacob-peterson-general-physics-with-calculus-ph-212-400-u2026,Quiz 1B,https://canvas.oregonstate.edu/courses/2053526/grades,https://canvas.oregonstate.edu/courses/2053526/assignments/10557101/submissions/6660414,ev-01736,,grades_surface_task_not_in_modules,cells=Quiz 1B Quiz B | Jul 6 by 11:55am |  |  | Click to test a different score Click to test a different score - / 40 unsubmitted 3245385 10557101 |  | Grade Info See scoring details See rubric results 0 comments 0 | ; text=Quiz 1B Quiz B Jul 6 by 11:55am Click to test a different score Click to test a different score - / 40 unsubmitted 3245385 10557101 Grade Info See scoring details See rubric results 0 comments 0,Decide whether this surface-listed task needs module context or should stay grade/assignment-only.
sus-00008,2053526,PHY-212,medium,grades_surface_crosscheck,obj-phy-212-assignment-10557100,task-00344-phy-212-graded-task-quiz-1a-asy-work,,,00020-phy-212-grades-grades-for-jacob-peterson-general-physics-with-calculus-ph-212-400-u2026,Quiz 1A_asy_work,https://canvas.oregonstate.edu/courses/2053526/grades,https://canvas.oregonstate.edu/courses/2053526/assignments/10557100/submissions/6660414,ev-01737,,grades_surface_task_not_in_modules,cells=Quiz 1A_asy_work Quiz_asy work | Jul 6 by 5pm |  |  | Instructor has not posted this grade Click to test a different score Instructor has not posted this grade - / 20 pending_review 3245387 10557100 |  | Grade Info See scoring details See rubric results 0 comments 0 | ; text=Quiz 1A_asy_work Quiz_asy work Jul 6 by 5pm Instructor has not posted this grade Click to test a different score Instructor has not posted this grade - / 20 pending_review 3245387 10557100 Grade Info See scoring details See rubric results 0 comments 0,Decide whether this surface-listed task needs module context or should stay grade/assignment-only.
sus-00009,2053526,PHY-212,medium,grades_surface_crosscheck,obj-phy-212-assignment-10557103,task-00347-phy-212-graded-task-quiz-1b-asy-work,,,00020-phy-212-grades-grades-for-jacob-peterson-general-physics-with-calculus-ph-212-400-u2026,Quiz 1B_asy_work,https://canvas.oregonstate.edu/courses/2053526/grades,https://canvas.oregonstate.edu/courses/2053526/assignments/10557103/submissions/6660414,ev-01738,,grades_surface_task_not_in_modules,cells=Quiz 1B_asy_work Quiz_asy work | Jul 6 by 5pm |  |  | Instructor has not posted this grade Click to test a different score Instructor has not posted this grade - / 40 pending_review 3245387 10557103 |  | Grade Info See scoring details See rubric results 0 comments 0 | ; text=Quiz 1B_asy_work Quiz_asy work Jul 6 by 5pm Instructor has not posted this grade Click to test a different score Instructor has not posted this grade - / 40 pending_review 3245387 10557103 Grade Info See scoring details See rubric results 0 comments 0,Decide whether this surface-listed task needs module context or should stay grade/assignment-only.
sus-00010,2053526,PHY-212,medium,grades_surface_crosscheck,obj-phy-212-assignment-10557099,task-00343-phy-212-graded-task-quiz-1a-6pm,,,00020-phy-212-grades-grades-for-jacob-peterson-general-physics-with-calculus-ph-212-400-u2026,Quiz 1A_6pm,https://canvas.oregonstate.edu/courses/2053526/grades,https://canvas.oregonstate.edu/courses/2053526/assignments/10557099/submissions/6660414,ev-01739,,grades_surface_task_not_in_modules,cells=Quiz 1A_6pm Quiz A | Jul 6 by 6:25pm |  |  | Click to test a different score Click to test a different score - / 35 unsubmitted 3245384 10557099 |  | Grade Info See scoring details See rubric results 0 comments 0 | ; text=Quiz 1A_6pm Quiz A Jul 6 by 6:25pm Click to test a different score Click to test a different score - / 35 unsubmitted 3245384 10557099 Grade Info See scoring details See rubric results 0 comments 0,Decide whether this surface-listed task needs module context or should stay grade/assignment-only.
